0,1,2,3,4,5
"channel-id=""pluto-5f984c1dc54853000797a5e8""","tvg-id=""es5f984c1dc54853000797a5e8""","tvg-logo=""https://images.pluto.tv/channels/5f984c1dc54853000797a5e8/colorlogopng.png""","group-title=""01_películas""",cine latino_es,http://stitcher-ipv4.pluto.tv/v1/stitch/embed/hls/channel/5f984c1dc54853000797a5e8/master.m3u8?devicetype=samsung-tvplus&devicemake=samsung&devicemodel=samsung&deviceversion=unknown&appversion=unknown&devicelat=0&devicelon=0&devicednt=%7btargetopt%7d&deviceid=%7bpsid%7d&advertisingid=%7bpsid%7d&us_privacy=1yny&samsung_app_domain=%7bapp_domain%7d&samsung_app_name=%7bapp_name%7d&profilelimit=&profilefloor=&embedpartner=samsung-tvplus
"channel-id=""pluto-5f984c1dc54853000797a5e8""","tvg-id=""es5f984c1dc54853000797a5e8""","tvg-logo=""https://images.pluto.tv/channels/5f984c1dc54853000797a5e8/colorlogopng.png""","group-title=""01_películas""",cine latino_es,http://stitcher-ipv4.pluto.tv/v1/stitch/embed/hls/channel/5f984c1dc54853000797a5e8/master.m3u8?devicetype=samsung-tvplus&devicemake=samsung&devicemodel=samsung&deviceversion=unknown&appversion=unknown&devicelat=0&devicelon=0&devicednt=%7btargetopt%7d&deviceid=%7bpsid%7d&advertisingid=%7bpsid%7d&us_privacy=1yny&samsung_app_domain=%7bapp_domain%7d&samsung_app_name=%7bapp_name%7d&profilelimit=&profilefloor=&embedpartner=samsung-tvplus
"channel-id=""pluto-5e972a21ad709d00074195ba""","tvg-id=""mx5e972a21ad709d00074195ba""","tvg-logo=""https://images.pluto.tv/channels/5e972a21ad709d00074195ba/colorlogopng.png""","group-title=""01_películas""",estrellas de acción_mx,http://stitcher-ipv4.pluto.tv/v1/stitch/embed/hls/channel/5e972a21ad709d00074195ba/master.m3u8?devicetype=samsung-tvplus&devicemake=samsung&devicemodel=samsung&deviceversion=unknown&appversion=unknown&devicelat=0&devicelon=0&devicednt=%7btargetopt%7d&deviceid=%7bpsid%7d&advertisingid=%7bpsid%7d&us_privacy=1yny&samsung_app_domain=%7bapp_domain%7d&samsung_app_name=%7bapp_name%7d&profilelimit=&profilefloor=&embedpartner=samsung-tvplus
"channel-id=""pluto-5e972a21ad709d00074195ba""","tvg-id=""mx5e972a21ad709d00074195ba""","tvg-logo=""https://images.pluto.tv/channels/5e972a21ad709d00074195ba/colorlogopng.png""","group-title=""01_películas""",estrellas de acción_mx,http://stitcher-ipv4.pluto.tv/v1/stitch/embed/hls/channel/5e972a21ad709d00074195ba/master.m3u8?devicetype=samsung-tvplus&devicemake=samsung&devicemodel=samsung&deviceversion=unknown&appversion=unknown&devicelat=0&devicelon=0&devicednt=%7btargetopt%7d&deviceid=%7bpsid%7d&advertisingid=%7bpsid%7d&us_privacy=1yny&samsung_app_domain=%7bapp_domain%7d&samsung_app_name=%7bapp_name%7d&profilelimit=&profilefloor=&embedpartner=samsung-tvplus
"channel-id=""mytimemovienetwork(spain)""","tvg-id=""mytimemovienetwork(spain)""","tvg-logo=""https://yt3.ggpht.com/ytc/akedolsj8imedzbjbwhai7hp1wg7qr3vyrumgjvrr_5_=s88-c-k-c0x00ffffff-no-rj""","group-title=""01_películas""",mytimemovienetwork(spain),https://appletree-mytimespain-rakuten.amagi.tv/playlist.m3u8
"channel-id=""mytimemovienetwork(spain)""","tvg-id=""mytimemovienetwork(spain)""","tvg-logo=""https://yt3.ggpht.com/ytc/akedolsj8imedzbjbwhai7hp1wg7qr3vyrumgjvrr_5_=s88-c-k-c0x00ffffff-no-rj""","group-title=""01_películas""",mytimemovienetwork(spain),https://appletree-mytimespain-rakuten.amagi.tv/playlist.m3u8
"channel-id=""mytimemovienetwork(spain)""","tvg-id=""mytimemovienetwork(spain)""","tvg-logo=""https://yt3.ggpht.com/ytc/akedolsj8imedzbjbwhai7hp1wg7qr3vyrumgjvrr_5_=s88-c-k-c0x00ffffff-no-rj""","group-title=""01_películas""",mytimemovienetwork(spain),https://appletree-mytimespain-rakuten.amagi.tv/playlist.m3u8
"channel-id=""mytimemovienetwork(spain)""","tvg-id=""mytimemovienetwork(spain)""","tvg-logo=""https://yt3.ggpht.com/ytc/akedolsj8imedzbjbwhai7hp1wg7qr3vyrumgjvrr_5_=s88-c-k-c0x00ffffff-no-rj""","group-title=""01_películas""",mytimemovienetwork(spain),https://appletree-mytimespain-rakuten.amagi.tv/playlist.m3u8
"channel-id=""mytimemovienetwork(spain)""","tvg-id=""mytimemovienetwork(spain)""","tvg-logo=""https://yt3.ggpht.com/ytc/akedolsj8imedzbjbwhai7hp1wg7qr3vyrumgjvrr_5_=s88-c-k-c0x00ffffff-no-rj""","group-title=""01_películas""",mytimemovienetwork(spain),https://appletree-mytimespain-rakuten.amagi.tv/playlist.m3u8
"channel-id=""mytimemovienetwork(spain)""","tvg-id=""mytimemovienetwork(spain)""","tvg-logo=""https://yt3.ggpht.com/ytc/akedolsj8imedzbjbwhai7hp1wg7qr3vyrumgjvrr_5_=s88-c-k-c0x00ffffff-no-rj""","group-title=""01_películas""",mytimemovienetwork(spain),https://appletree-mytimespain-rakuten.amagi.tv/playlist.m3u8
